Processed by,Species,ID,SN,Date,Time,Gear,FL (mm),wt (g),Fullness,Digestion,full wt,empty wt,Prey Taxa,LH,Higher level,Count,wt (g),Comments,QA/QC
as,CHN,2016Ad_plus_F,1,1/29/2016,9:48,STTD,39,0.49,2,1,0.0163,0.0105,Insect matter,,Insecta,,0.0000,,bo
as,CHN,2016Ad_plus_F,2,2/5/2016,9:21,BL-6,34,0.2965,3,5,0.0081,0.0017,Insect matter,,Insecta,,0.0002,,bo
as,CHN,2016Ad_plus_F,2,2/5/2016,9:21,BL-6,34,0.2965,3,5,0.0081,0.0017,Chironomidae,pupae,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,2,2/5/2016,9:21,BL-6,34,0.2965,3,5,0.0081,0.0017,Chironomidae,larvae,Diptera,1,0.0003,,bo
as,CHN,2016Ad_plus_F,2,2/5/2016,9:21,BL-6,34,0.2965,3,5,0.0081,0.0017,Eurycercus lamellatus,,Cladocera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,2,2/5/2016,9:21,BL-6,34,0.2965,3,5,0.0081,0.0017,Daphnia pulex/pulicaria grp.,,Cladocera,14,0.0007,,bo
as,CHN,2016Ad_plus_F,2,2/5/2016,9:21,BL-6,34,0.2965,3,5,0.0081,0.0017,Pseudodiaptomus forbesi,,Calanoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,3,2/5/2016,9:21,BL-6,40,0.5686,3,5,,0.0097,Unidentified,,Unidentified,,0.0016,,bo
as,CHN,2016Ad_plus_F,3,2/5/2016,9:21,BL-6,40,0.5686,3,5,,0.0097,Daphnia pulex/pulicaria grp.,,Cladocera,16,0.0000,,bo
as,CHN,2016Ad_plus_F,4,2/5/2016,9:21,BL-6,39,0.4844,4,5,0.0170,0.0037,Unidentified,,Unidentified,,0.0008,,bo
as,CHN,2016Ad_plus_F,4,2/5/2016,9:21,BL-6,39,0.4844,4,5,0.0170,0.0037,Macrocyclops sp,,Cyclopoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,4,2/5/2016,9:21,BL-6,39,0.4844,4,5,0.0170,0.0037,Ephemeroptera,pupae,Ephemeroptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,4,2/5/2016,9:21,BL-6,39,0.4844,4,5,0.0170,0.0037,Daphnia pulex/pulicaria grp.,,Cladocera,31,lost,sample spilled,bo
as,CHN,2016Ad_plus_F,5,2/5/2016,9:21,BL-6,44,0.7817,5,3,0.0269,0.0120,Daphnia pulex/pulicaria grp.,,Cladocera,38,0.0016,,bo
as,CHN,2016Ad_plus_F,5,2/5/2016,9:21,BL-6,44,0.7817,5,3,0.0269,0.0120,Macrocyclops sp,,Cyclopoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,5,2/5/2016,9:21,BL-6,44,0.7817,5,3,0.0269,0.0120,Unidentified,,Unidentified,,0.0026,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Unidentified,,Unidentified,,0.0030,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Chironomidae,larvae,Diptera,2,0.0000,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Hydroptilidae,adult,Trichoptera,1,0.0002,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Camptocercus sp,,Cladocera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Chydorus sp,,Cladocera,2,0.0000,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Bosmina sp,,Cladocera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Daphnia sp,,Cladocera,20,0.0011,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Daphnia pulex/pulicaria grp.,,Cladocera,9,0.0005,,bo
as,CHN,2016Ad_plus_F,6,2/5/2016,9:12,BL-6,38,0.4041,5,5,0.0189,0.0088,Macrocyclops sp,,Cyclopoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,37,2/10/2016,11:17,STTD,37,0.44,4,3,0.0165,0.0059,Unidentified,,Unidentified,,0.0011,,bo
as,CHN,2016Ad_plus_F,37,2/10/2016,11:17,STTD,37,0.44,4,3,0.0165,0.0059,Daphnia sp,,Cladocera,21,0.0010,,bo
as,CHN,2016Ad_plus_F,37,2/10/2016,11:17,STTD,37,0.44,4,3,0.0165,0.0059,Daphnia pulex/pulicaria grp.,,Cladocera,18,0.0019,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Unidentified,,Unidentified,,0.0005,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Coenagrionidae,nymph,Odonata,1,0.0016,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Hydroptilidae,adult,Trichoptera,1,0.0006,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Diptera,larvae,Diptera,1,0.0012,only part of body,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Hyalella azteca,,Amphipoda,3,0.0033,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Macrocyclops sp,,Cyclopoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Pseudodiaptomus forbesi,,Calanoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,38,2/11/2016,10:02,STTD,45,0.85,5,5,0.0304,0.0209,Daphnia sp,,Cladocera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,39,2/11/2016,10:13,STTD,48,1.19,5,3,0.0391,0.0108,Insect matter,,Insecta,,0.0073,,bo
as,CHN,2016Ad_plus_F,39,2/11/2016,10:13,STTD,48,1.19,5,3,0.0391,0.0108,Chironomidae,adult,Diptera,9,0.0056,,bo
as,CHN,2016Ad_plus_F,39,2/11/2016,10:13,STTD,48,1.19,5,3,0.0391,0.0108,Chironomidae,larvae,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,39,2/11/2016,10:13,STTD,48,1.19,5,3,0.0391,0.0108,Hydroptilidae,adult,Trichoptera,1,0.0000,thorax only,bo
as,CHN,2016Ad_plus_F,40,2/17/2016,10:13,STTD,50,1.2,2,3,0.0293,0.0264,Insect matter,,Insecta,,0.0000,,bo
as,CHN,2016Ad_plus_F,40,2/17/2016,10:13,STTD,50,1.2,2,3,0.0293,0.0264,Chironomidae,adult,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,41,2/17/2016,10:13,,54,1.49,3,6,0.0403,0.0324,Chironomidae,pupae,Diptera,2,0.0021,,bo
as,CHN,2016Ad_plus_F,42,2/17/2016,10:13,,49,1.06,1,,0.0280,,No animals,,0,,,,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Insect matter,,Insecta,,0.0067,,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Hyalella azteca,,Amphipoda,3,0.0024,,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Carabidae,adult,Coleoptera,1,0.0019,,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Formicidae,adult,Hymenoptera,1,0.0007,wingless,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Psyllidae,adult,Hemiptera,2,0.0009,winged,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Chironomidae,adult,Diptera,13,0.0032,mainly thoraces,bo
as,CHN,2016Ad_plus_F,49,2/18/2016,10:00,,48,1.32,6,3,0.0472,0.0103,Hydroptilidae,adult,Trichoptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Insect matter,,Insecta,,0.0174,,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Chironomidae,pupae,Diptera,2,0.0000,,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Chironomidae,adult,Diptera,7,0.0018,,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Aphididae,,Hemiptera,1,0.0005,winged,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Dytiscidae,larvae,Coleoptera,1,0.0001,,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Ephydridae,adult,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,50,2/18/2016,10:00,,47,1.44,6,3,0.0700,0.0225,Plant matter,,Plant Matter,,0.0000,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Insect matter,,Insecta,,0.0015,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Hyalella azteca,,Amphipoda,1,0.0017,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Entomobryiidae,,Collembola,1,0.0003,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Chironomidae,adult,Diptera,1,0.0002,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Daphnia sp,,Cladocera,3,0.0001,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Daphnia pulex/pulicaria grp.,,Cladocera,3,0.0002,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Eurytemora sp,,Calanoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,61,2/19/2016,8:55,,53,1.66,3,4,0.0394,0.0284,Acanthocyclops robustus,,Cyclopoida,2,0.0000,,bo
as,CHN,2016Ad_plus_F,62,2/19/2016,8:55,,43,1.25,1,,0.0318,,No animals,,0,,,,bo
as,CHN,2016Ad_plus_F,63,2/19/2016,8:55,,44,0.88,4,2,0.0236,0.0149,Insect matter,,Insecta,,0.0042,,bo
as,CHN,2016Ad_plus_F,63,2/19/2016,8:55,,44,0.88,4,2,0.0236,0.0149,Chironomidae,adult,Diptera,2,0.0000,mainly thoraces,bo
as,CHN,2016Ad_plus_F,64,2/19/2016,8:55,STTD,55,1.85,1,,0.0467,,No animals,,0,,,,bo
as,CHN,2016Ad_plus_F,65,2/22/2016,10:41,BL-6,50,1.25,3,5,0.0382,0.0248,Unidentified,,Unidentified,,0.0000,,bo
as,CHN,2016Ad_plus_F,65,2/22/2016,10:41,BL-6,50,1.25,3,5,0.0382,0.0248,Osteichthyes,,Chordata,3,0.0029,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Insect matter,,Insecta,,0.0073,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Osteichthyes,,Chordata,2,0.0003,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Hyalella azteca,,Amphipoda,1,0.0021,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Psyllidae,adult,Hemiptera,1,0.0008,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Aphididae,adult,Hemiptera,1,0.0003,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Hydroptilidae,adult,Trichoptera,1,0.0012,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Chironomidae,adult,Diptera,6,0.0013,thorax only,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Daphnia pulex/pulicaria grp.,,Cladocera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,66,2/22/2016,10:41,BL-6,56,1.84,5,4,0.0593,0.0304,Eurytemora sp,,Calanoida,2,0.0003,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Insect matter,,Insecta,,0.0014,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Hyalella azteca,,Amphipoda,17,0.0248,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Eurytemora sp,,Calanoida,2,0.0002,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Daphnia pulex/pulicaria grp.,,Cladocera,1,0.0002,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Coenagrionidae,nymph,Odonata,6,0.0246,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Chironomidae,pupae,Diptera,6,0.0051,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Aphididae,adult,Hemiptera,1,0.0005,,bo
as,CHN,2016Ad_plus_F,67,2/22/2016,10:41,BL-6,54,1.79,6,5,0.1266,0.0287,Osteichthyes,,Chordata,1,0.0012,,bo
as,CHN,2016Ad_plus_F,68,2/22/2016,10:41,BL-6,38,0.55,5,4,0.0163,0.0079,Insect matter,,Insecta,,0.0010,,bo
as,CHN,2016Ad_plus_F,68,2/22/2016,10:41,BL-6,38,0.55,5,4,0.0163,0.0079,Chironomidae,emergent,Diptera,1,0.0016,,bo
as,CHN,2016Ad_plus_F,68,2/22/2016,10:41,BL-6,38,0.55,5,4,0.0163,0.0079,Daphnia pulex/pulicaria grp.,,Cladocera,6,0.0001,,bo
as,CHN,2016Ad_plus_F,69,2/24/2016,10:11,STTD,50,1.37,5,2,0.0389,0.0271,Insect matter,,Insecta,,0.0040,,bo
as,CHN,2016Ad_plus_F,69,2/24/2016,10:11,STTD,50,1.37,5,2,0.0389,0.0271,Daphnia pulex/pulicaria grp.,,Cladocera,9,0.0007,,bo
as,CHN,2016Ad_plus_F,69,2/24/2016,10:11,STTD,50,1.37,5,2,0.0389,0.0271,Chironomidae,adult,Diptera,4,0.0012,thorax only,bo
as,CHN,2016Ad_plus_F,70,2/24/2016,10:11,STTD,45,0.93,4,6,0.0287,0.0226,Chironomidae,adult,Diptera,1,0.0015,,bo
as,CHN,2016Ad_plus_F,70,2/24/2016,10:11,STTD,45,0.93,4,6,0.0287,0.0226,Daphnia pulex/pulicaria grp.,,Cladocera,2,0.0007,,bo
as,CHN,2016Ad_plus_F,71,2/24/2016,10:11,STTD,41,0.68,5,3,0.0234,0.0164,Animal matter,,Animalia,,0.0022,,bo
as,CHN,2016Ad_plus_F,71,2/24/2016,10:11,STTD,41,0.68,5,3,0.0234,0.0164,Chironomidae,adult,Diptera,9,0.0010,,bo
as,CHN,2016Ad_plus_F,71,2/24/2016,10:11,STTD,41,0.68,5,3,0.0234,0.0164,Daphnia pulex/pulicaria grp.,,Cladocera,1,0.0002,,bo
as,CHN,2016Ad_plus_F,71,2/24/2016,10:11,STTD,41,0.68,5,3,0.0234,0.0164,Collembola,,Collembola,1,0.0000,,bo
as,CHN,2016Ad_plus_F,71,2/24/2016,10:11,STTD,41,0.68,5,3,0.0234,0.0164,Coccoidea,adult,Hemiptera,1,0.0000,winged,bo
as,CHN,2016Ad_plus_F,71,2/24/2016,10:11,STTD,41,0.68,5,3,0.0234,0.0164,Eurytemora sp,,Calanoida,1,0.0003,,bo
as,CHN,2016Ad_plus_F,74,2/24/2016,8:30,BL-4,57,2.21,5,4,0.0819,0.0372,Animal matter,,Animalia,,0.0076,,bo
as,CHN,2016Ad_plus_F,74,2/24/2016,8:30,BL-4,57,2.21,5,4,0.0819,0.0372,Daphnia pulex/pulicaria grp.,,Cladocera,29,0.0056,,bo
as,CHN,2016Ad_plus_F,74,2/24/2016,8:30,BL-4,57,2.21,5,4,0.0819,0.0372,Daphnia sp,,Cladocera,11,0.0016,,bo
as,CHN,2016Ad_plus_F,74,2/24/2016,8:30,BL-4,57,2.21,5,4,0.0819,0.0372,Hyalella azteca,,Amphipoda,2,0.0012,,bo
as,CHN,2016Ad_plus_F,74,2/24/2016,8:30,BL-4,57,2.21,5,4,0.0819,0.0372,Chironomidae,adult,Diptera,4,0.0034,,bo
as,CHN,2016Ad_plus_F,74,2/24/2016,8:30,BL-4,57,2.21,5,4,0.0819,0.0372,Chironomidae,larvae,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Animal matter,,Animalia,,0.0070,,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Daphnia sp,,Cladocera,25,0.0044,,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Daphnia pulex/pulicaria grp.,,Cladocera,7,0.0012,,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Daphnia grp 2,,Cladocera,13,0.0041,,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Chironomidae,adult,Diptera,3,0.0027,thorax only,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Acanthocyclops robustus,,Cyclopoida,1,0.0000,,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Psyllidae,adult,Hemiptera,1,0.0007,winged,bo
as,CHN,2016Ad_plus_F,75,3/2/2016,8:30,BL-4,51,1.61,6,4,0.0710,0.0177,Corophiidae,juvenile,Amphipoda,1,0.0000,,bo
as,CHN,2016Ad_plus_F,81,3/8/2016,11:48,STTD,59,2.5,3,2,0.0497,0.0456,Animal matter,,Animalia,,0.0009,,bo
as,CHN,2016Ad_plus_F,81,3/8/2016,11:48,STTD,59,2.5,3,2,0.0497,0.0456,Cyclopoida,,Cyclopoida,2,0.0000,,bo
as,CHN,2016Ad_plus_F,81,3/8/2016,11:48,STTD,59,2.5,3,2,0.0497,0.0456,Chironomidae,larvae,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,81,3/8/2016,11:48,STTD,59,2.5,3,2,0.0497,0.0456,Chironomidae,emergent,Diptera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,81,3/8/2016,11:48,STTD,59,2.5,3,2,0.0497,0.0456,Daphnia sp,,Cladocera,2,0.0000,,bo
as,CHN,2016Ad_plus_F,81,3/8/2016,11:48,STTD,59,2.5,3,2,0.0497,0.0456,Amphipoda,,Amphipoda,1,0.0000,,bo
as,CHN,2016Ad_plus_F,83,3/8/2016,11:48,STTD,60,2.83,2,1,0.0653,0.0477,Animal matter,,Animalia,,0.0045,,bo
as,CHN,2016Ad_plus_F,84,3/8/2016,11:48,STTD,54,1.98,5,3,0.0542,0.0230,Unidentified,,Unidentified,,0.0100,,bo
as,CHN,2016Ad_plus_F,84,3/8/2016,11:48,STTD,54,1.98,5,3,0.0542,0.0230,Corophiidae,,Amphipoda,2,0.0002,,bo
as,CHN,2016Ad_plus_F,84,3/8/2016,11:48,STTD,54,1.98,5,3,0.0542,0.0230,Hyalella azteca,,Amphipoda,1,0.0005,,bo
as,CHN,2016Ad_plus_F,84,3/8/2016,11:48,STTD,54,1.98,5,3,0.0542,0.0230,Daphnia sp,,Cladocera,14,0.0029,,bo
as,CHN,2016Ad_plus_F,84,3/8/2016,11:48,STTD,54,1.98,5,3,0.0542,0.0230,Daphnia grp 2,,Cladocera,2,0.0005,,bo
as,CHN,2016Ad_plus_F,84,3/8/2016,11:48,STTD,54,1.98,5,3,0.0542,0.0230,Daphnia pulex/pulicaria grp.,,Cladocera,3,0.0003,,bo
as,CHN,2016Ad_plus_F,85,3/8/2016,11:48,,53,1.97,1,,0.0504,,No animals,,0,,,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Animal matter,,Animalia,,0.0053,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Plant matter,,Plant Matter,,0.0002,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Corixidae,adult,Hemiptera,1,0.0027,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Hypogastruridae,,Collembola,1,0.0000,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Chironomidae,emergent,Diptera,3,0.0006,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Daphnia sp,,Cladocera,9,0.0007,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Daphnia pulex/pulicaria grp.,,Cladocera,2,0.0000,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Daphnia grp 2,,Cladocera,4,0.0003,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Simocephalus sp,,Cladocera,1,0.0000,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Corophiidae,,Amphipoda,1,0.0000,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Cyclopoida,,Cyclopoida,3,0.0000,,bo
as,CHN,2016Ad_plus_F,86,3/8/2016,11:48,,56,2.02,5,3,0.0564,0.0248,Amphipoda,,Amphipoda,2,0.0003,only part of body,bo
as,CHN,2016Ad_plus_F,93,3/8/2016,11:48,STTD,30,0.22,1,,0.0023,,No animals,,0,,,,bo
as,CHN,2016Ad_plus_F,94,3/8/2016,11:48,STTD,37,0.53,6,5,0.0296,0.0022,Animal matter,,Animalia,,0.0003,,bo
as,CHN,2016Ad_plus_F,94,3/8/2016,11:48,STTD,37,0.53,6,5,0.0296,0.0022,Daphnia sp,,Cladocera,13,0.0013,,bo
as,CHN,2016Ad_plus_F,94,3/8/2016,11:48,STTD,37,0.53,6,5,0.0296,0.0022,Daphnia grp 2,,Cladocera,16,0.0018,,bo
as,CHN,2016Ad_plus_F,94,3/8/2016,11:48,STTD,37,0.53,6,5,0.0296,0.0022,Daphnia pulex/pulicaria grp.,,Cladocera,21,0.0035,,bo
as,CHN,2016Ad_plus_F,94,3/8/2016,11:48,STTD,37,0.53,6,5,0.0296,0.0022,Corixidae,nymph,Hemiptera,1,0.0010,,bo
