Processed by,Date,ID #,FL,FL (Label if different from data sheet),Weight,Weight in field,Fullness,Digestion,Damp wt,Empty wt,Prey taxa,,LH,Count,Wt,Stomach broken/damaged,Comments,REF,QA,Inventory,Total Contents Wt
as,2/12/2016,2015-052S,42,,0.2495,0.69,,,,,Pseudodiaptomus forbesi,Calanoida,male,108,0.0021,,,,,,0.0032
as,2/12/2016,2015-052S,42,,0.2495,0.69,,,,,Pseudodiaptomus forbesi,Calanoida,female,47,0.001,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Ceriodaphnia sp,Cladocera,unidentified,2,0,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Pseudodiaptomus forbesi,Calanoida,female,12,0,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Pseudodiaptomus forbesi,Calanoida,male,19,0.0002,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Pseudodiaptomus forbesi,Calanoida,copepodid,20,0,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Pseudodiaptomus forbesi,Calanoida,female,30,0.0005,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Pseudodiaptomus forbesi,Calanoida,male,26,0.0003,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Pseudodiaptomus forbesi,Calanoida,copepodid,8,0,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Unidentified matter,,,,0,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Ceriodaphnia sp,Cladocera,unidentified,2,0,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Pseudodiaptomus forbesi,Calanoida,copepodid,34,0.0002,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Pseudodiaptomus forbesi,Calanoida,female,11,0.0001,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Pseudodiaptomus forbesi,Calanoida,male,44,0.0006,,,,,,
as,2/12/2016,2015-048S,30,,0.088,0.23,1,1,,,Empty,,,,,,,,,,
as,2/12/2016,2015-047S,42,,0.2218,0.55,4,6,0.0049,,Pseudodiaptomus forbesi,Calanoida,male,12,0.0001,,,,,,
as,2/12/2016,2015-047S,42,,0.2218,0.55,4,6,0.0049,,Pseudodiaptomus forbesi,Calanoida,female,4,0,,,,,,
as,2/12/2016,2015-047S,42,,0.2218,0.55,4,6,0.0049,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,2/12/2016,2015-047S,42,,0.2218,0.55,4,6,0.0049,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,2/12/2016,2015-046S,38,,0.1804,0.43,1,1,0.0045,,Empty,,,,,,,,,,
as,2/12/2016,2015-045S,32,,0.0953,0.26,2,6,0.0025,,Pseudodiaptomus forbesi,Calanoida,male,1,0,,,,,,
as,2/12/2016,2015-045S,32,,0.0953,0.26,2,6,0.0025,,Pseudodiaptomus forbesi,Calanoida,female,4,0,,,,,,
as,2/12/2016,2015-044S,35,,0.1643,0.26,2,6,0.0029,,Pseudodiaptomus forbesi,Calanoida,female,4,0.0001,,,,,,
as,2/12/2016,2015-044S,35,,0.1643,0.26,2,6,0.0029,,Ceriodaphnia sp,Cladocera,unidentified,1,0,,,,,,
as,2/12/2016,2015-043S,49,,0.179,0.33,4,6,0.0024,,Pseudodiaptomus forbesi,Calanoida,female,2,0.0001,broken,Stomach cut too high,,,,
as,2/12/2016,2015-043S,49,,0.179,0.33,4,6,0.0024,,Pseudodiaptomus forbesi,Calanoida,male,3,0,broken,Stomach cut too high,,,,
as,2/12/2016,2015-043S,49,,0.179,0.33,4,6,0.0024,,Sinocalanus doerrii,Calanoida,adult,1,0,broken,Stomach cut too high,,,,
as,2/12/2016,2015-042S,49,,0.1908,0.34,1,1,0.0018,,Empty,,,,,,,,,,
as,2/12/2016,2015-041S,48,,0.3503,0.73,4,5,0.0089,,Corophiidae,Amphipoda,juvenile,1,0,,,,,,
as,2/12/2016,2015-041S,48,,0.3503,0.73,4,5,0.0089,,Pseudodiaptomus forbesi,Calanoida,female,11,0.0003,,,,,,
as,2/12/2016,2015-041S,48,,0.3503,0.73,4,5,0.0089,,Pseudodiaptomus forbesi,Calanoida,male,7,0,,,,,,
as,2/12/2016,2015-041S,48,,0.3503,0.73,4,5,0.0089,,Sinocalanus doerrii,Calanoida,adult,2,0.0001,,,,,,
as,2/12/2016,2015-041S,48,,0.3503,0.73,4,5,0.0089,,Sinocalanus doerrii,Calanoida,adult,2,0.0002,,,,,,
as,2/12/2016,2015-041S,48,,0.3503,0.73,4,5,0.0089,,Sinocalanus doerrii,Calanoida,copepodid,1,0,,,,,,
as,2/12/2016,2015-040S,53,,0.4847,1.11,4,5,0.0133,,Pseudodiaptomus forbesi,Calanoida,female,14,0.0002,,,,,,
as,2/12/2016,2015-040S,53,,0.4847,1.11,4,5,0.0133,,Pseudodiaptomus forbesi,Calanoida,male,11,0.0003,,,,,,
as,2/12/2016,2015-040S,53,,0.4847,1.11,4,5,0.0133,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,2/12/2016,2015-040S,53,,0.4847,1.11,4,5,0.0133,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,2/12/2016,2015-039S,37,,0.119,0.39,3,3,0.0039,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,2/12/2016,2015-039S,37,,0.119,0.39,3,3,0.0039,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,2/12/2016,2015-039S,37,,0.119,0.39,3,3,0.0039,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,2/12/2016,2015-039S,37,,0.119,0.39,3,3,0.0039,,Unidentified matter,,,,0.0002,,,,,,
as,2/12/2016,2015-038S,40,,0.1983,0.54,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,40,0.0008,broken,,,,,
as,2/12/2016,2015-038S,40,,0.1983,0.54,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,40,0.0005,broken,,,,,
as,2/12/2016,2015-038S,40,,0.1983,0.54,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,6,0.0001,broken,,,,,
as,2/12/2016,2015-038S,40,,0.1983,0.54,6,5,broken,,Sinocalanus doerrii,Calanoida,adult,3,0,broken,,,,,
as,2/12/2016,2015-038S,40,,0.1983,0.54,6,5,broken,,Daphnia sp,Cladocera,unidentified,1,0,broken,,,,,
as,2/12/2016,2015-037S,38,,0.1721,0.44,5,4,0.0073,,Pseudodiaptomus forbesi,Calanoida,male,85,0.0012,,,,,,
as,2/12/2016,2015-037S,38,,0.1721,0.44,5,4,0.0073,,Pseudodiaptomus forbesi,Calanoida,female,37,0.0006,,,,,,
as,2/12/2016,2015-037S,38,,0.1721,0.44,5,4,0.0073,,Pseudodiaptomus forbesi,Calanoida,copepodid,28,0.0001,,,,,,
as,2/12/2016,2015-037S,38,,0.1721,0.44,5,4,0.0073,,Harpacticoida,Harpacticoida,unidentified,1,0,,,,,,
as,2/12/2016,2015-037S,38,,0.1721,0.44,5,4,0.0073,,Unidentified matter,,,,0,,,,,,
as,2/12/2016,2015-036S,31,,0.0976,0.33,6,1,0.0023,,,,,,,,"Dried out, not identifiable",,,,
as,2/12/2016,2015-035S,38,,0.1725,0.43,2,3,0.0048,,Pseudodiaptomus forbesi,Calanoida,male,1,0,,,,,,
as,2/12/2016,2015-035S,38,,0.1725,0.43,2,3,0.0048,,Unidentified matter,,,,0,,,,,,
as,2/12/2016,2015-034S,38,,0.1749,0.43,5,4,0.0081,,Pseudodiaptomus forbesi,Calanoida,male,69,0.0011,,,,,,
as,2/12/2016,2015-034S,38,,0.1749,0.43,5,4,0.0081,,Pseudodiaptomus forbesi,Calanoida,female,43,0.001,,,,,,
as,2/12/2016,2015-034S,38,,0.1749,0.43,5,4,0.0081,,Pseudodiaptomus forbesi,Calanoida,copepodid,12,0,,,,,,
as,2/12/2016,2015-034S,38,,0.1749,0.43,5,4,0.0081,,Sinocalanus doerrii,Calanoida,adult,3,0.0001,,,,,,
as,2/12/2016,2015-034S,38,,0.1749,0.43,5,4,0.0081,,Sinocalanus doerrii,Calanoida,adult,3,0.0001,,,,,,
as,2/12/2016,2015-034S,38,,0.1749,0.43,5,4,0.0081,,Unidentified matter,,,,0.0001,,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,51,0.0009,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,48,0.001,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,34,0.0004,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Unidentified matter,,,,0.0001,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Sinocalanus doerrii,Calanoida,adult,1,0,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Daphnia sp,Cladocera,unidentified,1,0,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Ceriodaphnia sp,Cladocera,unidentified,1,0,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Corophiidae,Amphipoda,juvenile,1,0,broken,,,,,
as,2/12/2016,2015-033S,36,,0.1255,0.39,6,5,broken,,Sinocalanus doerrii,Calanoida,adult,3,0.0001,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,57,0.0008,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,27,0.0009,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,9,0.0001,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Unidentified matter,,,,0,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Daphnia sp,Cladocera,unidentified,1,0,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Sinocalanus doerrii,Calanoida,adult,1,0,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Sinocalanus doerrii,Calanoida,adult,1,0,broken,,,,,
as,2/12/2016,2015-032S,34,,0.146,0.33,6,5,broken,,Sinocalanus doerrii,Calanoida,copepodid,3,0,broken,,,,,
as,2/12/2016,2015-031S,33,,0.1188,0.33,4,5,0.0043,,Pseudodiaptomus forbesi,Calanoida,male,23,0.0002,,,,,,
as,2/12/2016,2015-031S,33,,0.1188,0.27,4,5,0.0043,,Pseudodiaptomus forbesi,Calanoida,female,12,0.0002,,,,,,
as,2/12/2016,2015-031S,33,,0.1188,0.27,4,5,0.0043,,Pseudodiaptomus forbesi,Calanoida,copepodid,20,0,,,,,,
as,2/12/2016,2015-031S,33,,0.1188,0.27,4,5,0.0043,,Ceriodaphnia sp,Cladocera,unidentified,1,0,,,,,,
as,2/12/2016,2015-031S,33,,0.1188,0.27,4,5,0.0043,,Sinocalanus doerrii,Calanoida,adult,8,0.0002,,,,,,
as,2/12/2016,2015-030S,32,,0.0893,0.18,4,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,16,0.0003,broken,,,,,
as,2/12/2016,2015-030S,32,,0.0893,0.18,4,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,13,0.0003,broken,,,,,
as,2/12/2016,2015-030S,32,,0.0893,0.18,4,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,4,0,broken,,,,,
as,2/12/2016,2015-030S,32,,0.0893,0.18,4,5,broken,,Sinocalanus doerrii,Calanoida,copepodid,1,0,broken,,,,,
as,2/12/2016,2015-029S,32,,0.0996,0.2,4,5,0.0029,,Pseudodiaptomus forbesi,Calanoida,male,9,0.0005,,,,,,
as,2/12/2016,2015-029S,32,,0.0996,0.2,4,5,0.0029,,Pseudodiaptomus forbesi,Calanoida,female,13,0.0003,,,,,,
as,2/12/2016,2015-029S,32,,0.0996,0.2,4,5,0.0029,,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,2/12/2016,2015-029S,32,,0.0996,0.2,4,5,0.0029,,Sinocalanus doerrii,Calanoida,adult,5,0.0002,,,,,,
as,2/12/2016,2015-028S,27,,0.0369,0.16,3,6,0.0024,,Pseudodiaptomus forbesi,Calanoida,female,7,0,,,,,,
as,2/12/2016,2015-028S,27,,0.0369,0.16,3,6,0.0024,,Pseudodiaptomus forbesi,Calanoida,male,8,0.0001,,,,,,
as,2/12/2016,2015-028S,27,,0.0369,0.16,3,6,0.0024,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,2/12/2016,2015-028S,27,,0.0369,0.16,3,6,0.0024,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,2/12/2016,2015-027S,32,,0.0925,0.29,,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,9,0.0002,broken,,,,,
as,2/12/2016,2015-027S,32,,0.0925,0.29,,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,10,0,broken,,,,,
as,2/12/2016,2015-027S,32,,0.0925,0.29,,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,broken,,,,,
as,2/12/2016,2015-027S,32,,0.0925,0.29,,5,broken,,Sinocalanus doerrii,Calanoida,female,1,0,broken,,,,,
as,2/12/2016,2015-026S,30,,0.0609,0.11,1,1,,,Empty,,,,,,,,,,
as,2/12/2016,2015-025S,30,,0.1713,0.38,,,0.0044,,,,,,,,"dried out, not identifiable",,,,
as,2/12/2016,2015-024S,37,,0.176,0.4,,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,34,0.0012,broken,,,,,
as,2/12/2016,2015-024S,37,,0.176,0.4,,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,76,0.0016,broken,,,,,
as,2/12/2016,2015-024S,37,,0.176,0.4,,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,18,0,broken,,,,,
as,2/12/2016,2015-024S,37,,0.176,0.4,,5,broken,,Sinocalanus doerrii,Calanoida,adult,5,0,broken,,,,,
as,2/12/2016,2015-023S,35,,0.1855,0.44,6,,0.0036,,,,,,,,"Dried out, not identifiable",,,,
as,2/12/2016,2015-022S,33,,0.1156,0.28,2,6,0.0032,,Pseudodiaptomus forbesi,Calanoida,female,3,0,,,,,,
as,2/12/2016,2015-022S,33,,0.1156,0.28,2,6,0.0032,,Pseudodiaptomus forbesi,Calanoida,male,3,0,,,,,,
as,2/12/2016,2015-021S,30,,0.0983,0.33,,4,broken,,Pseudodiaptomus forbesi,Calanoida,male,14,0.0001,broken,,,,,
as,2/12/2016,2015-021S,30,,0.0983,0.33,,4,broken,,Pseudodiaptomus forbesi,Calanoida,female,24,0.0004,broken,,,,,
as,2/12/2016,2015-021S,30,,0.0983,0.33,,4,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,14,0.0003,broken,,,,,
as,2/12/2016,2015-021S,30,,0.0983,0.33,,4,broken,,Daphniidae,Cladocera,unidentified,1,0,broken,,,,,
as,2/12/2016,2015-021S,30,,0.0983,0.33,,4,broken,,Sinocalanus doerrii,Calanoida,adult,3,0.0003,broken,,,,,
as,2/12/2016,2015-021S,30,,0.0983,0.33,,4,broken,,Ceriodaphnia sp,Cladocera,unidentified,2,0,broken,,,,,
as,2/12/2016,2015-020S,39,,0.452,0.56,5,5,0.0093,,Pseudodiaptomus forbesi,Calanoida,female,55,0.0014,,,,,,
as,2/12/2016,2015-020S,39,,0.452,0.56,5,5,0.0093,,Pseudodiaptomus forbesi,Calanoida,male,60,0.0012,,,,,,
as,2/12/2016,2015-020S,39,,0.452,0.56,5,5,0.0093,,Pseudodiaptomus forbesi,Calanoida,copepodid,11,0.0002,,,,,,
as,2/12/2016,2015-020S,39,,0.452,0.56,5,5,0.0093,,Unidentified,,,,0.0002,,,,,,
as,2/12/2016,2015-020S,39,,0.452,0.56,5,5,0.0093,,Daphniidae,Cladocera,unidentified,1,0,,,,,,
as,2/12/2016,2015-019S,37,,0.1991,0.48,,,broken,,Pseudodiaptomus forbesi,Calanoida,female,19,0.0004,broken,,,,,
as,2/12/2016,2015-019S,37,,0.1991,0.48,,,broken,,Pseudodiaptomus forbesi,Calanoida,male,51,0.0009,broken,,,,,
as,2/12/2016,2015-019S,37,,0.1991,0.48,,,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,19,0,broken,,,,,
as,2/12/2016,2015-019S,37,,0.1991,0.48,,,broken,,Sinocalanus doerrii,Calanoida,adult,8,0.0003,broken,,,,,
as,2/12/2016,2015-018S,35,,0.1388,0.35,1,1,0.0031,,,,,,,,"Dried out, not identifiable",,,,
as,2/12/2016,2015-017S,41,,0.2478,0.48,5,5,0.0095,,,,,,,,"Dried out, not identifiable",,,,
as,4/12/2016,2013-071S,50,,0.3629,,5,5,0.0095,,Pseudodiaptomus forbesi,Calanoida,female,26,0.0007,,,,,,
as,4/12/2016,2013-071S,50,,0.3629,,5,5,0.0095,,Pseudodiaptomus forbesi,Calanoida,male,34,0.0008,,,,,,
as,4/12/2016,2013-071S,50,,0.3629,,5,5,0.0095,,Pseudodiaptomus forbesi,Calanoida,copepodid,8,0,,,,,,
as,4/12/2016,2013-071S,50,,0.3629,,5,5,0.0095,,Sinocalanus doerrii,Calanoida,adult,1,0.0001,,,,,,
as,4/12/2016,2013-071S,50,,0.3629,,5,5,0.0095,,Unidentified matter,,,,0.0002,,,,,,
as,4/12/2016,2013-072S,37,,0.1206,,5,6,0.0048,,Pseudodiaptomus forbesi,Calanoida,female,24,0.0007,,,,,,
as,4/12/2016,2013-072S,37,,0.1206,,5,6,0.0048,,Pseudodiaptomus forbesi,Calanoida,male,5,0.0001,,,,,,
as,4/12/2016,2013-072S,37,,0.1206,,5,6,0.0048,,Sinocalanus doerrii,Calanoida,copepodid,2,0,,,,,,
as,4/12/2016,2013-073S,36,,0.1932,,2,5,0.0049,,Sinocalanus doerrii,Calanoida,adult,2,0,,,,,,
as,4/12/2016,2013-073S,36,,0.1932,,2,5,0.0049,,Pseudodiaptomus forbesi,Calanoida,male,7,0.0001,,,,,,
as,4/12/2016,2013-073S,36,,0.1932,,2,5,0.0049,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/12/2016,2013-073S,36,,0.1932,,2,5,0.0049,,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,4/12/2016,2013-073S,36,,0.1932,,2,5,0.0049,,Plant matter,,,,0,,,,,,
as,4/12/2016,2013-074S,38,,0.1515,,5,6,0.0058,,Pseudodiaptomus forbesi,Calanoida,female,28,0.001,,,,,,
as,4/12/2016,2013-074S,38,,0.1515,,5,6,0.0058,,Pseudodiaptomus forbesi,Calanoida,male,33,0.0003,,,,,,
as,4/12/2016,2013-074S,38,,0.1515,,5,6,0.0058,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0.0001,,,,,,
as,4/12/2016,2013-074S,38,,0.1515,,5,6,0.0058,,Sinocalanus doerrii,Calanoida,adult,7,0.0003,,,,,,
as,4/12/2016,2013-104S,34,,0.1084,,2,4,0.0033,,Pseudodiaptomus forbesi,Calanoida,female,2,0,,,,,,
as,4/12/2016,2013-104S,34,,0.1084,,2,4,0.0033,,Pseudodiaptomus forbesi,Calanoida,male,5,0.0001,,,,,,
as,4/12/2016,2013-104S,34,,0.1084,,2,4,0.0033,,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,4/12/2016,2013-104S,34,,0.1084,,2,4,0.0033,,Sinocalanus doerrii,Calanoida,adult,2,0,,,,,,
as,4/12/2016,2013-103S,36,,0.1474,,1,1,0.0028,,Empty,,,,,,,,,,
as,4/12/2016,2013-102S,41,,0.2284,,2,5,0.0053,,Pseudodiaptomus forbesi,Calanoida,female,2,0.0001,,,,,,
as,4/12/2016,2013-102S,41,,0.2284,,2,5,0.0053,,Pseudodiaptomus forbesi,Calanoida,male,3,0,,,,,,
as,4/12/2016,2013-102S,41,,0.2284,,2,5,0.0053,,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,4/12/2016,2013-102S,41,,0.2284,,2,5,0.0053,,Sinocalanus doerrii,Calanoida,adult,2,0.0003,,,,,,
as,4/12/2016,2013-101S,44,,0.3418,,4,5,0.0135,,Pseudodiaptomus forbesi,Calanoida,female,14,0.0001,,,,,,
as,4/12/2016,2013-101S,44,,0.3418,,4,5,0.0135,,Pseudodiaptomus forbesi,Calanoida,male,13,0.0003,,,,,,
as,4/12/2016,2013-101S,44,,0.3418,,4,5,0.0135,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,4/12/2016,2013-101S,44,,0.3418,,4,5,0.0135,,Sinocalanus doerrii,Calanoida,adult,4,0.0002,,,,,,
as,4/12/2016,2013-100S,50,,0.5349,,3,6,0.0118,,Pseudodiaptomus forbesi,Calanoida,female,4,0,,,,,,
as,4/12/2016,2013-100S,50,,0.5349,,3,6,0.0118,,Pseudodiaptomus forbesi,Calanoida,male,7,0.0001,,,,,,
