"","PhysicalDataID","StationCode","Recorder","Field.Check","Crew","SamplingDate","YSI","SamplingTime","WeatherCode","Tide","Microcyst","WaterTemperature","Secchi","EC","SpCnd","pH","DO","Turb","LightData","DriftData","LarvalData","150_ZoopData","50_ZoopData","ChlData","PhytoData","NutrData","EnteredBy","QAQCBy","FieldComments_WQ","DataCorrectionComments","Datetime","Year","Month","SurfaceIRR","Depth1","SubSurfaceIRR1","Depth2","SubSurfaceIRR2","Depth3","SubSurfaceIRR3","Depth4","SubSurfaceIRR4","FieldComments_Light","StationNumber"
"1",313,"SHR","",FALSE,"OL,LC,CN",2010-06-08,NA,"12:21:00","CLR","",NA,17.3,0.53,94,NA,7.73,9.8,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"","","","",2010-06-08 12:21:00,"2010","6",2193,0.03,1607.2,0.06,1085.8,0.76,535.5,2.19,23.38,"","A0200000"
"2",312,"STTD","",FALSE,"OL,LC,CN",2010-06-08,NA,"09:45:00","CLR","",NA,22.9,0.21,593,NA,8.05,6.24,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",2010-06-08 09:45:00,"2010","6",1931.3,0.04,1551.1,0.07,959.8,0.27,472.7,0.75,22.7,"","A0D82120386"
"3",602,"RCS","",FALSE,"ni pc sr",2012-08-07,NA,"10:07:00","CLR","",NA,22,0.14,189,NA,7.85,8.44,103,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"pchoy","lrojas","flood tide, used motor to move boat backwards upstream for sampling","",2012-08-07 10:07:00,"2012","8",1976,0.02,1479.1,0.08,984.7,0.18,491.3,0.59,19.77,"","A0D84761435"
"4",703,"SHR","",FALSE,"JF, NI,LR",2013-05-30,NA,"09:32:00","CLR","",NA,19.9,NA,151,NA,7.37,9.5,12.2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"lrojas","hcarlson","no secchi disc; depth4 is max depth, should be 4.57umol","",2013-05-30 09:32:00,"2013","5",2157,0.05,1612,0.19,1078,0.74,5400,2.31,75.85,"","A0200000"
"5",817,"SHR","",FALSE,"JF, NI, ML",2014-07-10,NA,"07:50:00","CLD","",NA,23.2,1.62,116,NA,7.63,8.28,5.53,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","rfichman","No chl sample found, no results from Bryte - AS","",2014-07-10 07:50:00,"2014","7",640.4,0.04,484,0.07,338,0.54,169,2.24,19,"","A0200000"
"6",816,"STTD","",FALSE,"NI, ML",2014-07-10,NA,"10:53:00","CLR","",NA,23.4,0.15,213,NA,7.65,7.82,86.2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","ashakya","","No chl data available.",2014-07-10 10:53:00,"2014","7",2036,0.06,1525.7,0.14,1018.4,0.27,509.7,0.75,20.36,"","A0D82120386"
"7",1000,"I80","",FALSE,"MO, MA, JF",2014-08-06,NA,"12:00:00","CLR","",NA,23,0.15,1036,NA,7.86,3.96,66.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-06 12:00:00,"2014","8",1762.3,0.1,1319,0.2,882,0.36,439,0.89,17.63,"","A0D83441350"
"8",998,"KNA","",FALSE,"AM, JF, MO",2014-08-06,NA,"10:34:00","CLR","",NA,24,NA,656,NA,7.78,9.15,4.56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"mogaz","","","",2014-08-06 10:34:00,"2014","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0D84151387"
"9",999,"LIS","",FALSE,"AM, MO, JF",2014-08-06,NA,"12:52:00","CLR","",NA,24.6,0.18,264,NA,7.79,7.76,72.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-06 12:52:00,"2014","8",2108,0.05,1580,0.11,1048,0.22,522,0.86,21.3,"","B9D82851352"
"10",1052,"RCS","",FALSE,"AM, MO, JF",2014-08-06,NA,"09:38:00","CLR","",NA,24.9,0.22,672,NA,7.62,2.12,46.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-06 09:38:00,"2014","8",1834.4,0.04,1373,0.13,920,0.27,456,0.9,18,"","A0D84761435"
"11",1001,"RD22","",FALSE,"MO, AM, JF",2014-08-06,NA,"11:10:00","CLR","",NA,24.1,0.4,692,NA,7.57,3.97,18.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-06 11:10:00,"2014","8",1681.4,0.05,1255,0.25,842,0.53,428,1.63,16.8,"","A0D84061386"
"12",1022,"SRV","",FALSE,"JF, MO, PG",2014-08-10,NA,"12:10:00","CLR","",1,22.8,0.47,203,NA,7.26,7.6,6.6,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"mogaz","","SPCND: 212","",2014-08-10 12:10:00,"2014","8",2128,0.05,1598,0.37,1067,1.17,542,2,195,"","B9D81040386"
"13",1008,"I80","",FALSE,"JF, MO",2014-08-20,NA,"11:51:00","CLR","",NA,22.1,0.13,1029,NA,7.73,3.12,70.2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-20 11:51:00,"2014","8",1817.4,0.07,1365,0.18,902,0.4,455,1.03,18.23,"","A0D83441350"
"14",864,"LIS","",FALSE,"JF, MO",2014-08-20,NA,"12:40:00","CLR","",NA,22.1,0.16,248,NA,8.13,8.15,67.2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"opatton","","","",2014-08-20 12:40:00,"2014","8",2075,0.1,1560,0.16,1033,0.29,516,0.79,20.61,"","B9D82851352"
"15",1010,"RCS","",FALSE,"MO, JF",2014-08-20,NA,"10:06:00","CLR","",NA,24.6,0.23,601,NA,7.76,4.96,38,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-20 10:06:00,"2014","8",1919.7,0.06,1432,0.19,954,0.36,480,1.13,19.07,"","A0D84761435"
"16",1009,"RD22","",FALSE,"JF, MO",2014-08-20,NA,"11:02:00","CLR","",NA,23.3,0.35,660,NA,7.97,7.44,22,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-08-20 11:02:00,"2014","8",1730.3,0.06,1291,0.22,869,0.46,436,1.38,17.06,"","A0D84061386"
"17",912,"KNA","",FALSE,"JF, HC",2014-08-21,NA,"09:23:00","CLR","",1,20.14,NA,524,NA,7.44,5.61,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"mogaz","","","",2014-08-21 09:23:00,"2014","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0D84151387"
"18",918,"KNA","",FALSE,"JF, MO",2014-08-27,NA,"09:30:00","CLR","",NA,20.9,NA,578,NA,7.22,6.44,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"mogaz","","","",2014-08-27 09:30:00,"2014","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0D84151387"
"19",1018,"I80","",FALSE,"JF, MO",2014-08-28,NA,"13:40:00","CLR","",NA,22.9,0.16,1037,NA,7.98,4.99,64,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 1079","",2014-08-28 13:40:00,"2014","8",1902,0.07,1480,0.22,949,0.33,466,1.15,20.23,"","A0D83441350"
"20",1017,"LIS","",FALSE,"JF, MO",2014-08-28,NA,"14:28:00","CLR","",NA,23.6,0.18,327,NA,7.95,7.14,42.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 335","",2014-08-28 14:28:00,"2014","8",1990,0.04,1492,0.24,976,0.36,489,0.98,19.65,"","B9D82851352"
"21",1020,"RCS","",FALSE,"JF, MO",2014-08-28,NA,"09:28:00","CLR","",NA,24,0.31,561,NA,7.56,5.04,29.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 573","",2014-08-28 09:28:00,"2014","8",1858.5,0.02,1346,0.05,914,0.24,454,1.29,18.3,"","A0D84761435"
"22",1019,"RD22","",FALSE,"JF, MO",2014-08-28,NA,"11:32:00","CLR","",NA,23.9,NA,812,NA,8.03,9.19,18.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 830","",2014-08-28 11:32:00,"2014","8",1808.6,0.05,1340,0.25,914.7,0.46,462,NA,15.2,"","A0D84061386"
"23",1024,"I80","",FALSE,"BM, JF",2014-09-11,NA,"12:23:00","CLR","",NA,22.6,0.21,661,NA,7.59,7.33,56.3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 694","",2014-09-11 12:23:00,"2014","9",1830.3,0.1,1368,0.19,909,0.32,458,0.96,18.05,"","A0D83441350"
"24",875,"LIS","",FALSE,"BM, JF",2014-09-11,NA,"10:45:00","CLR","",NA,22.5,0.25,474,NA,7.81,7.12,49.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"opatton","","","",2014-09-11 10:45:00,"2014","9",1850.8,0.09,1390,0.22,922,0.37,462,1.08,18.53,"","B9D82851352"
"25",1026,"RCS","",FALSE,"BM, JF",2014-09-11,NA,"14:10:00","CLR","",NA,22.4,0.21,555,NA,7.93,8.16,41.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 585","",2014-09-11 14:10:00,"2014","9",1672.6,0.11,1253,0.31,826,0.46,419,1.26,16.69,"","A0D84761435"
"26",1025,"RD22","",FALSE,"JF, BM",2014-09-11,NA,"13:10:00","CLR","",NA,22.8,0.38,582,NA,7.48,4.41,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 608","",2014-09-11 13:10:00,"2014","9",1967,0.06,1471,0.33,980,0.66,494,1.98,19.59,"","A0D84061386"
"27",1034,"I80","",FALSE,"AM, JF",2014-09-25,NA,"11:22:00","CLD","",1,21.4,0.2,738,NA,7.3,5.28,36.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-09-25 11:22:00,"2014","9",410.8,0.01,309,0.29,200,0.41,102,1.08,4.19,"","A0D83441350"
"28",1033,"LIS","",FALSE,"AM, JF",2014-09-25,NA,"12:15:00","CLD","",1,22.3,0.25,953,NA,7.79,9.87,39.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","too much hyacinth, sampled d/s from LIS near the fyke","",2014-09-25 12:15:00,"2014","9",2415,0.07,1820,0.12,1205,0.29,602,1.17,24.3,"","B9D82851352"
"29",1036,"RCS","",FALSE,"AM, JF",2014-09-25,NA,"09:23:00","CLD","",1,22.2,0.31,548,NA,7.32,6.8,32.1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"mogaz","","SPCND: 578","",2014-09-25 09:23:00,"2014","9",234.5,0.04,172,0.12,118,0.75,50.75,1.46,2.33,"","A0D84761435"
"30",1035,"RD22","",FALSE,"AM, JF",2014-09-25,NA,"10:23:00","CLD","",1,21.7,0.33,609,NA,7.2,7.18,22.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-09-25 10:23:00,"2014","9",328.4,0.04,240.1,0.06,170.01,0.31,83.43,1.31,3.28,"","A0D84061386"
"31",1039,"I80","",FALSE,"BM, MO",2014-10-08,NA,"11:30:00","CLR","",NA,21,0.2,618,NA,7.06,6.16,24.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-10-08 11:30:00,"2014","10",1777.2,0.1,1343,0.23,872,0.39,438,1,19.5,"","A0D83441350"
"32",879,"LIS","",FALSE,"BM, MO",2014-10-08,NA,"13:30:00","CLR","",NA,21.7,0.1,317,NA,6.97,5.9,87.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"opatton","","","",2014-10-08 13:30:00,"2014","10",1976.3,0.08,1472,0.16,968,0.43,475,0.8,19.73,"","B9D82851352"
"33",1041,"RCS","",FALSE,"BM, MO",2014-10-08,NA,"09:15:00","CLR","",NA,20.7,0.2,533,NA,6.75,7.52,21.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","SPCND: 580","",2014-10-08 09:15:00,"2014","10",1656,0.03,1258,0.1,829,0.29,407,1.29,12.24,"","A0D84761435"
"34",1040,"RD22","",FALSE,"MO, BM",2014-10-08,NA,"10:12:00","CLR","",NA,20.7,0.35,597,NA,6.65,5.03,17.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-10-08 10:12:00,"2014","10",1679,0.06,1215,0.23,820,0.45,413,1.72,16.59,"","A0D84061386"
"35",1044,"I80","",FALSE,"OP, MO, NI",2014-10-21,NA,"10:45:00","CLR","",NA,17.8,NA,542,NA,8.16,7.54,29.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-10-21 10:45:00,"2014","10",1641.3,0.06,1255,0.17,828,0.35,410,1.24,16.2,"","A0D83441350"
"36",1045,"LIS","",FALSE,"OP, MO, NI",2014-10-21,NA,"11:39:00","CLR","",NA,18.7,NA,260,NA,8.02,6.24,65.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","sampled below the fyke due to hyacinth","",2014-10-21 11:39:00,"2014","10",1865,0.09,1394,0.17,935,0.31,457,0.88,18.59,"","B9D82851352"
"37",1042,"RCS","",FALSE,"MO, OP, NI",2014-10-21,NA,"09:12:00","CLD","",NA,17.6,NA,493,NA,7.72,5.86,37,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-10-21 09:12:00,"2014","10",1288,0.05,990,0.1,644,0.21,322,0.89,12.87,"","A0D84761435"
"38",1043,"RD22","",FALSE,"OP, NI, MO",2014-10-21,NA,"09:55:00","CLR","",NA,17.3,NA,568,NA,7.77,5.64,12.3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"mogaz","","","",2014-10-21 09:55:00,"2014","10",1608.4,0.06,1197,0.15,808,0.44,407,1.9,15.9,"","A0D84061386"
"39",1088,"I80","",FALSE,"JF, JA",2015-08-04,NA,"10:55:00","CLD","",NA,22.57,0.41,718,753,7.72,2.11,19.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","opatton","","",2015-08-04 10:55:00,"2015","8",1407.6,0.11,1058,0.28,705,0.45,350,1.43,14.12,"Intermittent cloud cover","A0D83441350"
"40",1086,"LIS","",FALSE,"JF, JA",2015-08-04,NA,"12:17:00","CLD","",NA,23.2,0.28,270,280,8.04,7.38,58.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"jagundes","opatton","","",2015-08-04 12:17:00,"2015","8",1173.8,0.04,870,0.12,581,0.27,292,0.99,11.73,"","B9D82851352"
"41",1087,"RD22","",FALSE,"JF, JA",2015-08-04,NA,"09:40:00","CLR","",NA,23.07,0.36,1555,1615,7.5,5.9,19.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","opatton","","",2015-08-04 09:40:00,"2015","8",1738.9,0.04,1316,0.22,864,0.4,432,1.22,17.02,"","A0D84061386"
"42",1315,"I80","",FALSE,"NI, JA",2015-08-19,NA,"11:30:00","CLR","",NA,22.4,0.4,930,978,8.08,2.55,74.2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"","","","",2015-08-19 11:30:00,"2015","8",1792.2,0.06,1386.9,0.19,892.4,0.39,447.1,1.14,17.85,"","A0D83441350"
"43",1313,"RCS","",FALSE,"NI, JA",2015-08-19,NA,"08:55:00","CLR","",NA,24.95,0.29,698,699,7.76,3.77,38.4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"","","","",2015-08-19 08:55:00,"2015","8",1524,0.04,1142.6,0.13,762.8,0.27,375.9,1.03,15.23,"","A0D84761435"
"44",1314,"RD22","",FALSE,"ni, ja",2015-08-19,NA,"10:35:00","CLR","",NA,25.08,NA,798,799,7.91,1.24,8.5,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"","","","",2015-08-19 10:35:00,"2015","8",1693.2,0.06,1263.4,0.16,846.9,0.49,423,1.24,16.8,"","A0D84061386"
